id,original_stock
085f5d3a-2dc5-4f75-ae08-0e8880ffa039,30
0874a08c-dc1d-4dd4-a780-a8e125428ab3,50
15260371-8700-4fa4-b85c-48725599a387,156
1595d46b-8c27-4e1d-9e33-2f84fca73835,108
163fae6a-9de3-4f2b-b476-460f7b76daac,100
16eedf77-a168-4aa1-9ae3-cf799d21b39b,96
1781c8d1-6358-420b-9c8e-1a12d45b333a,72
218bddf2-b0a8-4ae2-922d-be8993536ec4,24
3698815f-abaa-4c11-bca6-bc3786c47e84,100
3e6ba1a3-6fa6-498c-b676-749379a3c360,100
413d11c9-30ee-4a47-9a8c-c4adc0f2f173,60
4198f643-7da7-4ff4-88e5-82247a941a89,102
485c1c9d-2c1b-4344-b50a-d241c37b28ec,120
5b5e3d41-cdd5-4a30-b5b9-0bb8dde979c0,20
6211c1d2-a815-4378-95fd-250d70e6257e,108
689c6221-a723-4765-bbcf-795b69c540df,107
6e052728-fada-408d-931c-86f13be12b5c,96
6e2a318c-05dc-4588-ab31-75f197a82e60,108
728e7ef7-da37-47fc-a331-b806e971a013,20
7495fbe9-9a6c-4f6f-8204-de385db38959,96
757d62ca-c16a-4ca1-82c7-a3fd30ee44e3,99
763bf884-37b1-4e50-899d-fd5f0b3b96bc,108
7cc80335-d35b-42ec-aa8c-b656ea36ba14,100
819d9381-050c-44f0-bc37-b0870724db83,168
82bc2005-c9b2-4e64-a0b7-b409c3f4f973,20
94b3dbef-de69-490e-aa03-895f6bb5c415,108
99d21945-979a-4f01-a1c9-2fe0c3eb9179,156
9b22661b-70c5-4393-afe9-fe1a6c8f4b59,108
a44d603a-bcb1-45e5-91c1-a4cb8d34b8f9,96
a85a4f82-4638-40f4-bfbc-ee9f722cda4d,50
b63db63b-f85c-42a8-8ead-80ba705ff62e,108
b893c048-9868-4961-bb59-b9ba7a04adbb,108
bad888bd-0526-469c-aa62-fe017e073c84,100
c6f2e668-2bb6-4981-9010-e32a75dd1b59,100
c712078f-f058-41e4-a04c-a6a0f283b5d1,204
c8924679-3f14-410b-a194-82dbc65ad8ec,96
ca92079a-52b6-4c52-a98b-d3cf4524868a,96
cdb6d090-8915-4f40-9a84-2f507f5ebfec,100
d113bc3b-49a7-4ef0-96de-1b1d82c29706,1156
d48fbfa9-e41d-416c-ba4f-c4bf4b4bd723,99
d68e1b99-3b38-4d0b-af52-c4da895c1c47,156
e6118f15-9ef2-4c1e-9446-246ad05d294a,108
eb2a96d0-6a8b-4390-8a6e-ad284b2e6698,98
f50ee17c-21c6-4e5f-8158-cce0bfb822c9,100
f7f7f309-73c0-417c-9e4f-141efde3c306,108
fa8e83fd-33bb-4da3-b692-b20fc2f706e4,168
